date,type,kappa_ollivier,kappa_forman,rho_max,rho_frob,sfi_max,sfi_frob,hhi,density,n_nodes,n_edges
2018-01-01,mst,0.7822023767294776,1.3642705191284792,0.572678877014135,0.5520000927882478,1.3401604699823795,1.232143319456847,0.12854798726240269,0.18181818181818182,11,10
2018-04-01,mst,0.6845558384261833,1.258280356364835,0.6083274433513445,0.5692582766266931,1.553153094402364,1.3215768190938388,0.13565400012342493,0.18181818181818182,11,10
2018-07-01,mst,0.7739519645805416,1.3848832368270931,0.5401110043415397,0.5729975171718052,1.1744377652877278,1.341906757489164,0.13060786711824185,0.18181818181818182,11,10
2018-10-01,mst,0.8452261365076289,1.5392957969556877,0.548970293551124,0.5332619623089646,1.217148861154558,1.142529468879427,0.12458318256036699,0.18181818181818182,11,10
2019-01-01,mst,0.8504553006930518,1.5232540976681903,0.5539105139483326,0.5509529223945806,1.2417026880659927,1.2269379979769215,0.12317032407650404,0.18181818181818182,11,10
2019-04-01,mst,0.907141587980135,1.6473797017572391,0.7087588106346564,0.5009030246563874,2.4335802644507245,1.0036186340571014,0.10790451179929697,0.18181818181818182,11,10
2019-07-01,mst,0.905123630022932,1.664440898436427,0.5807404536664588,0.5275795584699439,1.3851573774409698,1.116758531365071,0.12217498613977708,0.18181818181818182,11,10
2019-10-01,mst,0.8504536120653465,1.6271262907925368,0.5941998057107312,0.5326666864109562,1.4642669325268098,1.1398003757107804,0.12587870795362627,0.18181818181818182,11,10
2020-01-01,mst,0.8418073744130989,1.6214901267847677,0.579275493948584,0.5572970627784858,1.3768522765293634,1.2588510622409366,0.1356456081193937,0.18181818181818182,11,10
2020-04-01,mst,0.9412701009795826,1.8671470514791064,0.5619516412938144,0.520288402159861,1.2828529775881092,1.0845858313670458,0.1186504120431194,0.18181818181818182,11,10
2020-07-01,mst,0.9357939084504873,1.829743491020069,0.5555732797012398,0.5243851901669134,1.250089732065981,1.1025417613697572,0.12274368430848369,0.18181818181818182,11,10
2020-10-01,mst,0.9228123108494884,1.8233545542051135,0.5529663917591321,0.5252450288735774,1.2369682761328007,1.106349718945249,0.12765180422852718,0.18181818181818182,11,10
2021-01-01,mst,0.9200847003027928,1.8147791422625683,0.7048072728330234,0.497191221460591,2.3876173359594564,0.9888276471720796,0.10695845869015208,0.18181818181818182,11,10
2021-04-01,mst,0.9129478079629658,1.8002132762073466,0.6974944394065051,0.49886427153058943,2.305724357721126,0.9954673817694885,0.11290530469468464,0.18181818181818182,11,10
2021-07-01,mst,0.9067294641176863,1.7939949243877646,0.6847748738398942,0.48590287349687766,2.1723359498065222,0.9451577308007508,0.10747092930798177,0.18181818181818182,11,10
2021-10-01,mst,0.9258261983513607,1.8324853209510823,0.5602492857333162,0.5028444986267565,1.2740156355802004,1.0114430942387218,0.11090950876630605,0.18181818181818182,11,10
2022-01-01,mst,0.908880798618059,1.7945258972683074,0.7136766125747953,0.4956719978162818,2.492554377037142,0.9828365580932324,0.10727805139549496,0.18181818181818182,11,10
2022-04-01,mst,0.7808039160287659,1.4949303514917716,0.46703246781598196,0.5846472381210255,0.8762869023224652,1.4075920320746056,0.14265973700885765,0.18181818181818182,11,10
2022-07-01,mst,0.809955504194544,1.5443311319945026,0.5150306835448665,0.5373096815734058,1.0619861217395472,1.1612727999162789,0.12797336735487908,0.18181818181818182,11,10
2022-10-01,mst,0.8414649806476723,1.577714668597575,0.5776738554118168,0.562766528281067,1.3678382520578156,1.2871076088219304,0.1389753944514156,0.18181818181818182,11,10
2023-01-01,mst,0.8658200207689054,1.635205280484863,0.5743913585300336,0.555111894096551,1.3495763538686663,1.247756203707148,0.13618948876531675,0.18181818181818182,11,10
2023-04-01,mst,0.8454095045829136,1.6070179695518685,0.5715508545340585,0.5558818846665521,1.3339992869223556,1.2516532550112056,0.13673567422866323,0.18181818181818182,11,10
2023-07-01,mst,0.8375241319372406,1.542855302752756,0.5615194846460538,0.556030427986305,1.2806030484451272,1.2524066130576021,0.14637720750673172,0.18181818181818182,11,10
2023-10-01,mst,0.8358929412216171,1.5445777379068248,0.5858978468487706,0.5472530917820458,1.4148630776010518,1.2087395448730398,0.13305244853624223,0.18181818181818182,11,10
2024-01-01,mst,0.8476135644544105,1.4876287199703209,0.545446015213574,0.5384096541806529,1.1999587144084858,1.1664231261703437,0.13444507134870148,0.18181818181818182,11,10
2024-04-01,mst,0.8480581969595017,1.5126809444824585,0.5760255206438997,0.5500463440633292,1.358632532596591,1.2224511053661624,0.13358138456981283,0.18181818181818182,11,10
2024-07-01,mst,0.8117490003780897,1.2976017339697916,0.5643655360049201,0.5411134065860925,1.2955024972755464,1.1791876562800734,0.1297595413609844,0.18181818181818182,11,10
2024-10-01,mst,0.8292013901922017,1.2596867166515677,0.4923070678687264,0.5797839931995941,0.9696945470602517,1.3797284820589417,0.1458931066197903,0.18181818181818182,11,10
2025-01-01,mst,0.764232222705626,1.1158615643534229,0.6009358119275657,0.5622672086606509,1.5058625401347456,1.2844987165349409,0.13591407659592417,0.18181818181818182,11,10
2025-04-01,mst,0.785457944201045,0.9616103365616956,0.54152130111097,0.5813507961715013,1.1811264131205352,1.388634663233837,0.1486370904641856,0.18181818181818182,11,10
2025-07-01,mst,0.6680237494735418,1.0457365180065128,0.4711513872646102,0.6103709052616639,0.8909002991000594,1.5665434473561886,0.1534372531920799,0.18181818181818182,11,10
2025-10-01,mst,0.6643631955061082,1.0322189511744264,0.6587731922571816,0.5741076251287506,1.930602101912511,1.3480110445797668,0.12718069616018898,0.18181818181818182,11,10
2026-01-01,mst,0.6607269633497008,1.1547447400102817,0.6942651108979243,0.5478744307767408,2.2708076037279805,1.2117749317252193,0.12304122741120374,0.18181818181818182,11,10
2026-04-01,mst,0.6785034621971964,1.191133498756382,0.5875056458138139,0.5322226759700213,1.4242756048695726,1.1377692945541593,0.12413347404734128,0.18181818181818182,11,10
