date,type,country,kappa_country,strength,degree
2026-04-01,mst,COL,0.8354669700052362,1.5682348785587745,2
2009-10-01,mst,DOM,0.8972526660147738,1.8700790971072785,2
2010-01-01,mst,DOM,0.8980679337343115,1.8682793047977284,2
2010-04-01,mst,DOM,0.8584467220866676,1.8633315294227315,2
2010-07-01,mst,DOM,0.8620024636698458,1.8613502209551918,2
2010-10-01,mst,DOM,0.858984643273321,1.8556962533459873,2
2011-01-01,mst,DOM,0.8566023022016025,0.8592172859664883,1
2011-04-01,mst,DOM,0.8141874153171011,0.7220376883004834,1
2011-07-01,mst,DOM,0.7058586901758284,0.6206271997058403,1
2011-10-01,mst,DOM,0.7542498687450783,1.6053789348517278,2
2012-01-01,mst,DOM,0.7489069338546208,1.6148137312712296,2
2012-04-01,mst,DOM,0.750270798133545,1.6121621620404434,2
2012-07-01,mst,DOM,0.8618000996881212,0.7858573582863706,1
2012-10-01,mst,DOM,0.8958801763295025,0.8404610820924968,1
2013-01-01,mst,DOM,0.9035231412131759,0.8609779880071825,1
2013-04-01,mst,DOM,0.8514602331235686,0.8026256853244149,1
2013-07-01,mst,DOM,0.8236146300396521,0.8047244216080783,1
2013-10-01,mst,DOM,0.8333052010522702,0.7000696817672182,1
2014-01-01,mst,DOM,0.8279488075467848,0.6770520637242792,1
2014-04-01,mst,DOM,0.8537744201599196,0.7123868134829787,1
2014-07-01,mst,DOM,0.843790374857152,0.710125520876996,1
2014-10-01,mst,DOM,0.7803220599220271,0.7136017385270138,1
2015-01-01,mst,DOM,0.8658381295021615,0.717881610049304,1
2015-04-01,mst,DOM,0.7085359792275662,1.3474265452838412,2
2015-07-01,mst,DOM,0.8278581400316107,0.8224668309077622,1
2015-10-01,mst,DOM,0.8600644561304636,0.886618854906506,1
2016-01-01,mst,DOM,0.956997914600112,0.8922918668973129,1
2016-04-01,mst,DOM,0.9391779832451601,0.8917656162500702,1
2016-07-01,mst,DOM,0.6761144139125915,2.0370337941709806,3
2016-10-01,mst,DOM,0.7838097997199867,2.904267914285136,4
2017-01-01,mst,DOM,0.7708543949444048,2.1913979372208634,3
2017-04-01,mst,DOM,0.7771577557417667,1.5845869087516915,2
2017-07-01,mst,DOM,0.6945922613833595,1.2880218655078493,2
2017-10-01,mst,DOM,0.7985586673922779,1.4695507358967688,2
2018-01-01,mst,DOM,0.8804547080919252,0.8918614231094157,1
2018-04-01,mst,DOM,0.9557453061318947,0.8444027463978674,1
2018-07-01,mst,DOM,0.9739882298040916,0.8564633443397279,1
2018-10-01,mst,DOM,0.9436401233539716,0.8420899897901725,1
2019-01-01,mst,DOM,0.8663347723195369,2.3736379855255785,3
2019-04-01,mst,DOM,0.9528161320951328,1.7654306995021425,2
2019-07-01,mst,DOM,0.8797702254692016,2.500082719974762,3
2019-10-01,mst,DOM,0.804152916782443,3.3410011028805546,4
2020-01-01,mst,DOM,0.7380844845282364,3.0840886551427564,4
2020-04-01,mst,DOM,0.9062180868169687,1.803988005455773,2
2020-07-01,mst,DOM,0.9134123632349324,2.680195696455576,3
2020-10-01,mst,DOM,0.8780497564335443,3.5611341588006646,4
2021-01-01,mst,DOM,0.8615983069768506,2.679210893303465,3
2021-04-01,mst,DOM,0.8532475801006058,2.676451810044636,3
2021-07-01,mst,DOM,0.8454811563867953,2.679264709089258,3
2021-10-01,mst,DOM,0.9188557174852356,1.8757500808610095,2
2022-01-01,mst,DOM,0.9427892432906576,1.8579340813236331,2
2022-04-01,mst,DOM,0.8418368937939562,1.6226207680067586,2
2022-07-01,mst,DOM,0.7494336231096629,3.9099640534551456,5
2022-10-01,mst,DOM,0.8629770990771763,3.450407012059144,4
2023-01-01,mst,DOM,0.8631525881755895,3.434165015132539,4
2023-04-01,mst,DOM,0.8380333055802507,3.3618908827004237,4
2023-07-01,mst,DOM,0.8228362399633689,2.5846894522716752,3
2023-10-01,mst,DOM,0.8267090400331295,3.4000261181216667,4
2024-01-01,mst,DOM,0.8602525321969933,2.6006021125013907,3
2024-04-01,mst,DOM,0.8605106732376678,3.4125975731063165,4
2024-07-01,mst,DOM,0.8210572243800174,3.0856408353202536,4
2024-10-01,mst,DOM,0.8380417921559881,3.699065264113636,5
2025-01-01,mst,DOM,0.7233275254217277,2.5841288051158857,4
2025-04-01,mst,DOM,0.7155741088108492,2.9361338580771004,5
2025-07-01,mst,DOM,0.7042245176176464,3.434737127517543,5
2025-10-01,mst,DOM,0.675549327928819,1.8860134674119606,3
2026-01-01,mst,DOM,0.8207600052613926,2.2214227479627495,3
2026-04-01,mst,DOM,0.6171060245040025,1.9127254801952553,3
2009-10-01,mst,ECU,0.8264843664915525,0.7164163918603995,1
2010-01-01,mst,ECU,0.8264742411712813,0.7162101359646703,1
2010-04-01,mst,ECU,0.8801473798741177,0.7097857031670409,1
2010-07-01,mst,ECU,0.8818465755587986,0.7089199155228728,1
2010-10-01,mst,ECU,0.881612311403954,0.706345487393557,1
2011-01-01,mst,ECU,0.6280177366554669,0.4446560301245872,1
2011-04-01,mst,ECU,0.7290360063334905,0.4923228227466576,1
2011-07-01,mst,ECU,0.7058586901758284,0.5945760794988972,1
2011-10-01,mst,ECU,0.7213231932937936,0.43403538664757874,1
2012-01-01,mst,ECU,0.7064081318402242,0.36327412523352287,1
2012-04-01,mst,ECU,0.7099509363557728,0.37774637542071754,1
2012-07-01,mst,ECU,0.6256122734249409,0.370040213268535,1
2012-10-01,mst,ECU,0.7682384317600447,0.5715423367462935,1
2013-01-01,mst,ECU,0.6715800931207374,0.5201704070415359,1
2013-04-01,mst,ECU,0.6425282654984008,0.44972986714619945,1
2013-07-01,mst,ECU,0.6159893682417173,0.4674633578111321,1
2013-10-01,mst,ECU,0.5987219009940038,0.4756013144740933,1
2014-01-01,mst,ECU,0.6507974558846764,0.5585654819116677,1
2014-04-01,mst,ECU,0.7084350583427212,0.6783045259284861,1
2014-07-01,mst,ECU,0.6904916399084242,0.6695970133100267,1
2014-10-01,mst,ECU,0.5954198121301566,0.5178183647862923,1
2015-01-01,mst,ECU,0.6029281291136681,0.5704268858362208,1
2015-04-01,mst,ECU,0.6916002030604984,0.5856412797980519,1
2015-07-01,mst,ECU,0.8278581400316107,0.5982227986617373,1
2015-10-01,mst,ECU,0.816145548684337,0.6290824284016764,1
2016-01-01,mst,ECU,0.8047075801554976,0.6970498248446914,1
2016-04-01,mst,ECU,0.9324576232616695,0.8118796875926259,1
2016-07-01,mst,ECU,0.8485808205320426,0.7649249847996337,1
2016-10-01,mst,ECU,0.7885876624446142,0.7436249473482551,1
2017-01-01,mst,ECU,0.8488579687447382,0.7452014218740942,1
2017-04-01,mst,ECU,0.8939852693180335,0.7399224890475834,1
2017-07-01,mst,ECU,0.899462965229769,0.7436292540214198,1
2017-10-01,mst,ECU,0.7644771372984849,0.6793832956679429,1
2018-01-01,mst,ECU,0.7209920941690058,0.6729282886633936,1
2018-04-01,mst,ECU,0.4988491112196374,0.4008460103470489,1
2018-07-01,mst,ECU,0.5784737093156176,0.43278042691537244,1
2018-10-01,mst,ECU,0.8403096194485258,0.6695054103762288,1
2019-01-01,mst,ECU,0.8744272614416123,0.6888045411288453,1
2019-04-01,mst,ECU,0.882682440091159,1.5372190592696318,2
2019-07-01,mst,ECU,0.9603529840657957,0.8257345124881066,1
2019-10-01,mst,ECU,0.9115013494048795,0.7928319394304915,1
2020-01-01,mst,ECU,0.8022180308155913,0.6304918844569394,1
2020-04-01,mst,ECU,0.9745087578175529,0.9546248295364368,1
2020-07-01,mst,ECU,0.9787010468191285,0.9465528718224745,1
2020-10-01,mst,ECU,0.7831138715337825,1.538300328692611,2
2021-01-01,mst,ECU,0.7892145993129879,1.5035200175767924,2
2021-04-01,mst,ECU,0.7879513376693525,1.5047164522220646,2
2021-07-01,mst,ECU,0.7858392911344299,1.5091580187274563,2
2021-10-01,mst,ECU,0.882931727479564,0.9070686479259827,1
2022-01-01,mst,ECU,0.8907930771599136,0.9122379336622394,1
2022-04-01,mst,ECU,0.6668910452572767,0.7687743895428244,1
2022-07-01,mst,ECU,0.6823021260925813,0.8573911208847225,1
2022-10-01,mst,ECU,0.6882592577906967,0.49928971193464683,1
2023-01-01,mst,ECU,0.7896054388755284,0.6276420404218066,1
2023-04-01,mst,ECU,0.7571836261367819,0.5734531625541194,1
2023-07-01,mst,ECU,0.7628896927360216,0.4939507135178518,1
2023-10-01,mst,ECU,0.7319004422103124,0.46231124251240413,1
2024-01-01,mst,ECU,0.7686112290857832,0.4125390495112046,1
2024-04-01,mst,ECU,0.770628539333084,0.430517562775059,1
2024-07-01,mst,ECU,0.7027517832618488,0.322309702543044,1
2024-10-01,mst,ECU,0.7181799824405748,0.31352206493420626,1
2025-01-01,mst,ECU,0.45473721994093474,0.17891404819756443,1
2025-04-01,mst,ECU,0.795431388291879,0.20408735584229504,1
2025-07-01,mst,ECU,0.38348289446480166,0.21209616341242915,1
2025-10-01,mst,ECU,0.4523178562273441,0.21569963719717342,1
2026-01-01,mst,ECU,0.39323798639957314,0.5053902283429177,2
2026-04-01,mst,ECU,0.38670623307126784,0.2645239703908165,1
2009-10-01,mst,MEX,0.9589606947022781,0.9196017947674057,1
2010-01-01,mst,MEX,0.9573255078322777,0.9153498346783544,1
2010-04-01,mst,MEX,0.9633170199936171,0.919453542446512,1
2010-07-01,mst,MEX,0.9729858683979412,0.9355101980836599,1
2010-10-01,mst,MEX,0.9768133142349638,0.9355856224608515,1
2011-01-01,mst,MEX,0.8128274156256914,1.8176526517906813,2
2011-04-01,mst,MEX,0.8616321301680202,2.708485597823464,3
2011-07-01,mst,MEX,0.8627359983261957,2.601221788472838,3
2011-10-01,mst,MEX,0.8687570073326394,3.6377539743168863,4
2012-01-01,mst,MEX,0.8686490939998585,2.776495176567355,3
2012-04-01,mst,MEX,0.8963602037009963,4.674782895707082,5
2012-07-01,mst,MEX,0.9707457508537661,0.975414315345235,1
2012-10-01,mst,MEX,0.9499968516269212,2.852256860349347,3
2013-01-01,mst,MEX,0.9417442678419063,1.9522587247993193,2
2013-04-01,mst,MEX,0.99,0.9755039782560866,1
2013-07-01,mst,MEX,0.8029946841208586,1.7146695919502828,2
2013-10-01,mst,MEX,0.988449831039683,0.9657645393101871,1
2014-01-01,mst,MEX,0.9845103872057848,1.9167220799931342,2
2014-04-01,mst,MEX,0.8849718778071328,2.603854362520627,3
2014-07-01,mst,MEX,0.9757805407535481,1.8963117196888195,2
2014-10-01,mst,MEX,0.9034314227193984,2.8443501846116144,3
2015-01-01,mst,MEX,0.8946668499492028,1.9131480916086026,2
2015-04-01,mst,MEX,0.8390326788598756,3.6135677997748514,4
2015-07-01,mst,MEX,0.9020904929656782,2.844529808920582,3
2015-10-01,mst,MEX,0.905109244640102,1.9109907259358947,2
2016-01-01,mst,MEX,0.901086295680644,1.8323113603073202,2
2016-04-01,mst,MEX,0.9039584709774054,4.537076875831023,5
2016-07-01,mst,MEX,0.8558638557441457,5.415489087611299,6
2016-10-01,mst,MEX,0.9056044436596349,1.6889952118135048,2
2017-01-01,mst,MEX,0.9539062785203627,0.8929675243189853,1
2017-04-01,mst,MEX,0.9588130971032253,0.8638321730919042,1
2017-07-01,mst,MEX,0.899462965229769,0.8604357495865286,1
2017-10-01,mst,MEX,0.7887949755604433,0.8504899395781242,1
2018-01-01,mst,MEX,0.7666438276415013,0.8024617660663973,1
2018-04-01,mst,MEX,0.8869917174520562,0.6917929878517441,1
2018-07-01,mst,MEX,0.8965876180987951,0.7005067317596206,1
2018-10-01,mst,MEX,0.741762372963154,1.3799025034598063,2
2019-01-01,mst,MEX,0.9200342704335213,0.7924617786548651,1
2019-04-01,mst,MEX,0.9652190020088413,0.8336697135047839,1
2019-07-01,mst,MEX,0.9332460422477832,0.8434933883501143,1
2019-10-01,mst,MEX,0.9116677142055173,0.7943746806329376,1
2020-01-01,mst,MEX,0.9339001267802935,0.8548226917806174,1
2020-04-01,mst,MEX,0.9696985795430494,1.928364333991972,2
2020-07-01,mst,MEX,0.9336985415771508,1.917708140804987,2
2020-10-01,mst,MEX,0.99,0.9688228969481727,1
2021-01-01,mst,MEX,0.987751088084806,0.9618350791142724,1
2021-04-01,mst,MEX,0.9807277434980807,0.9579954578510699,1
2021-07-01,mst,MEX,0.9758490508573628,0.953002628221813,1
2021-10-01,mst,MEX,0.9424278825648149,0.9547544616190929,1
2022-01-01,mst,MEX,0.8776808127811376,2.819652969376901,3
2022-04-01,mst,MEX,0.5894957254471017,1.2743334287256274,2
2022-07-01,mst,MEX,0.7408779429626352,1.5857209200167808,2
2022-10-01,mst,MEX,0.7240925770250212,2.3021137641927987,3
2023-01-01,mst,MEX,0.7677472641046883,2.3950597399057387,3
2023-04-01,mst,MEX,0.7476047908170723,2.3906870220807765,3
2023-07-01,mst,MEX,0.7456804739028341,3.604401076716864,5
2023-10-01,mst,MEX,0.7070431075604168,2.7632263919304103,4
2024-01-01,mst,MEX,0.7569932439749582,3.538358624813519,5
2024-04-01,mst,MEX,0.7528727383381685,2.8324662388795625,4
2024-07-01,mst,MEX,0.6769066029029877,2.4184619396076976,4
2024-10-01,mst,MEX,0.6930162563519432,2.348833405765697,4
2025-01-01,mst,MEX,0.797699575745756,1.8974282022820064,3
2025-04-01,mst,MEX,0.8620959876686286,1.4247535650848455,2
2025-07-01,mst,MEX,0.5648770846594497,1.1284464237609357,2
2025-10-01,mst,MEX,0.706894573667944,1.166078669449019,2
2026-01-01,mst,MEX,0.8465763091632996,0.7110853103586663,1
2026-04-01,mst,MEX,0.7072959862099071,2.624329412403263,4
2009-10-01,mst,PAN,0.9636557087483025,2.8138912042037436,3
2010-01-01,mst,PAN,0.9645731231637935,2.811403697229232,3
2010-04-01,mst,PAN,0.9309024558712692,2.8055396970152158,3
2010-07-01,mst,PAN,0.9305120224527573,2.792208210656436,3
2010-10-01,mst,PAN,0.9313133210231941,2.7914418167586197,3
2011-01-01,mst,PAN,0.9156931311423473,1.7159072090693126,2
2011-04-01,mst,PAN,0.9713534226402474,1.8844830787448545,2
2011-07-01,mst,PAN,0.9722250012042124,0.9494811245951887,1
2011-10-01,mst,PAN,0.9716536769864464,0.9659939574153098,1
2012-01-01,mst,PAN,0.9634492253125994,0.9626140631468261,1
2012-04-01,mst,PAN,0.9583799992344162,0.954571860447746,1
2012-07-01,mst,PAN,0.9707457508537661,0.9689096839096708,1
2012-10-01,mst,PAN,0.940032859697995,1.8650464188978115,2
2013-01-01,mst,PAN,0.9418603965677395,1.8559893831544787,2
2013-04-01,mst,PAN,0.8742896706508574,1.7629993101610633,2
2013-07-01,mst,PAN,0.8968129095179044,1.743667938982151,2
2013-10-01,mst,PAN,0.8038307708541756,2.5554739135346276,3
2014-01-01,mst,PAN,0.7511126481190535,1.6301067832256324,2
2014-04-01,mst,PAN,0.8126930562132746,3.314093562811727,4
2014-07-01,mst,PAN,0.798778356299304,3.2518855646598523,4
2014-10-01,mst,PAN,0.7382493665025341,2.5204220302061193,3
2015-01-01,mst,PAN,0.8492660535085881,0.9584050658322326,1
2015-04-01,mst,PAN,0.9508503306302133,1.8273465495630712,2
2015-07-01,mst,PAN,0.9375986904782991,1.790427739712754,2
2015-10-01,mst,PAN,0.8661440438180825,1.8477753064318019,2
2016-01-01,mst,PAN,0.9244698709860708,1.8259479056510939,2
2016-04-01,mst,PAN,0.9253348229716711,1.8325881167455322,2
2016-07-01,mst,PAN,0.9286696682356179,0.9321361469973113,1
2016-10-01,mst,PAN,0.9009679120120966,2.6995829375152414,3
2017-01-01,mst,PAN,0.8402463548396062,2.748916550939298,3
2017-04-01,mst,PAN,0.7668953660478253,3.121866754766058,4
2017-07-01,mst,PAN,0.8544721270865593,2.7507260847791737,3
