date,country,dlog_spread,overshoot,jump_bp,spread_bp
2010-05-01,DOM,0.2079837594157281,0.02987350536940811,88.387,470.695
2010-05-01,PER,0.21077939421612513,0.007770399810070716,39.51899999999998,207.94299999999998
2010-05-01,MEX,0.19197225487879344,0.02894160626111708,38.203,218.715
2010-05-01,CHL,0.36398044809186647,0.18878559841750192,49.376000000000005,161.838
2010-05-01,BRA,0.1785943318896317,0.01244636456657161,38.34200000000001,234.429
2010-05-01,COL,0.22781023510169174,0.030883095115637166,49.172000000000025,241.365
2010-11-01,COL,0.2682537583645077,0.07132661837845314,42.46799999999999,180.495
2010-11-01,PER,0.27994522920903275,0.07693623480297834,43.91899999999998,179.867
2010-11-01,PAN,0.23155072743468352,0.038089330583025216,35.20700000000002,170.33100000000002
2010-11-01,MEX,0.18966011742813205,0.026629468810455692,32.304,186.988
2011-04-01,PER,0.22741556047430045,0.02440656606824604,44.09,216.754
2011-08-01,CHL,0.2196132508991946,0.04441840122483004,29.729999999999976,150.783
2011-08-01,MEX,0.20983170096465642,0.046801052346980065,37.119,196.107
2011-08-01,BRA,0.20758965007992725,0.04144168275686716,36.83600000000001,196.501
2011-08-01,PAN,0.24148546181948838,0.04802406496783007,39.025000000000006,181.901
2011-08-01,COL,0.22237755542526827,0.025450415439213697,32.849999999999994,164.755
2011-09-01,MEX,0.30777891358955944,0.1447482649718831,70.67699999999999,266.784
2011-09-01,BRA,0.34453700667613596,0.17838903935307587,80.828,277.329
2011-09-01,SLV,0.23789521601633545,0.05903138904044902,108.01600000000002,510.196
2011-09-01,PAN,0.3264267160230814,0.13296531917142307,70.215,252.116
2011-09-01,CHL,0.18282657019527804,0.0076317205209134875,30.24800000000002,181.031
2011-09-01,ARG,0.29625279502161117,0.046809717430803977,254.6249999999999,993.0749999999999
2011-09-01,PER,0.4087059628872973,0.20569696848124291,93.73299999999998,279.39099999999996
2011-09-01,COL,0.3781649289411986,0.181237788955144,75.72200000000001,240.477
2011-09-01,URY,0.41056083852158576,0.20729806425950575,105.10199999999998,312.133
2012-05-01,PER,0.2612303031341243,0.05822130872806991,49.601999999999975,215.75799999999998
2012-05-01,PAN,0.3226455505945651,0.12918415374290682,60.19,218.262
2012-05-01,ARG,0.2506782514475798,0.0012351738567726311,274.10699999999986,1236.235
2012-05-01,COL,0.31156582833068214,0.11463868834462757,55.54600000000002,207.49300000000002
