date,country,alpha_iet,xmin_iet,n_events_window,mean_wait_months
2012-10-01,CHL,1.6207305565381422,0.9855453350854139,8,7.71071897878731
2012-11-01,CHL,1.6207305565381422,0.9855453350854139,8,7.71071897878731
2012-12-01,CHL,1.6697983262985223,0.9855453350854139,7,7.325886990801577
2013-01-01,CHL,1.6697983262985223,0.9855453350854139,7,7.325886990801577
2013-02-01,CHL,1.6697983262985223,0.9855453350854139,7,7.325886990801577
2013-03-01,CHL,1.6697983262985223,0.9855453350854139,7,7.325886990801577
2013-04-01,CHL,1.6697983262985223,0.9855453350854139,7,7.325886990801577
2013-05-01,CHL,1.6697983262985223,0.9855453350854139,7,7.325886990801577
2013-06-01,CHL,1.6697983262985223,0.9855453350854139,7,7.325886990801577
2013-07-01,CHL,1.6697983262985223,0.9855453350854139,7,7.325886990801577
2013-08-01,CHL,1.6697983262985223,0.9855453350854139,7,7.325886990801577
2013-09-01,CHL,1.6697983262985223,0.9855453350854139,7,7.325886990801577
2013-10-01,CHL,2.183448410024449,3.9421813403416555,6,8.59395532194481
2013-11-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2013-12-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2014-01-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2014-02-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2014-03-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2014-04-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2014-05-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2014-06-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2014-07-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2014-08-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2014-09-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2014-10-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2014-11-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2014-12-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2015-01-01,CHL,2.468600334518894,3.9421813403416555,5,6.989159001314061
2015-02-01,CHL,,,4,8.004818221638196
2015-03-01,CHL,,,4,8.004818221638196
2015-04-01,CHL,,,4,8.004818221638196
2015-05-01,CHL,,,4,8.004818221638196
2008-09-01,COL,,,4,3.339903635567236
2008-10-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2008-11-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2008-12-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2009-01-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2009-02-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2009-03-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2009-04-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2009-05-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2009-06-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2009-07-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2009-08-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2009-09-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2009-10-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2009-11-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2009-12-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2010-01-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2010-02-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2010-03-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
2010-04-01,COL,2.158429474353217,0.9855453350854139,5,2.7513140604467803
