date,type,src,dst,weight
2010-01-01,corr,ECU,PAN,0.6281033447155846
2010-01-01,corr,ECU,PER,0.6292530503345527
2010-01-01,corr,ECU,SLV,0.7098836129349781
2010-01-01,corr,ECU,URY,0.596647118332851
2010-01-01,corr,MEX,PAN,0.9074780316745319
2010-01-01,corr,MEX,PER,0.8167801167728215
2010-01-01,corr,MEX,SLV,0.7473385182152122
2010-01-01,corr,MEX,URY,0.7543322103118171
2010-01-01,corr,PAN,PER,0.9587215233650993
2010-01-01,corr,PAN,SLV,0.8961237968083102
2010-01-01,corr,PAN,URY,0.8588178624185326
2010-01-01,corr,PER,SLV,0.8785222678490897
2010-01-01,corr,PER,URY,0.8742213412980703
2010-01-01,corr,SLV,URY,0.8928463335219414
2010-01-01,partial,ARG,BRA,0.5305418567168843
2010-01-01,partial,ARG,CHL,0.5387766130930836
2010-01-01,partial,ARG,COL,0.5301825936812811
2010-01-01,partial,ARG,DOM,0.40355493796284686
2010-01-01,partial,ARG,MEX,0.5344564145334854
2010-01-01,partial,ARG,PAN,0.5727085654546131
2010-01-01,partial,ARG,PER,0.5994356507148222
2010-01-01,partial,BRA,CHL,0.9285634563214921
2010-01-01,partial,BRA,COL,0.9715815467560204
2010-01-01,partial,BRA,DOM,0.5975945302718739
2010-01-01,partial,BRA,ECU,0.9161461480982239
2010-01-01,partial,BRA,MEX,0.9836539905342515
2010-01-01,partial,BRA,PAN,0.9746613054514525
2010-01-01,partial,BRA,PER,0.9646552454837237
2010-01-01,partial,BRA,SLV,0.6679595536307491
2010-01-01,partial,BRA,URY,0.7349531892006472
2010-01-01,partial,CHL,COL,0.8668100771508293
2010-01-01,partial,CHL,DOM,0.6594368208376236
2010-01-01,partial,CHL,ECU,0.8197214925327299
2010-01-01,partial,CHL,MEX,0.9116449156817584
2010-01-01,partial,CHL,PAN,0.8560466469695982
2010-01-01,partial,CHL,PER,0.8676485627319696
2010-01-01,partial,CHL,SLV,0.5519319485955058
2010-01-01,partial,CHL,URY,0.7055616078020771
2010-01-01,partial,COL,DOM,0.4942449725422324
2010-01-01,partial,COL,ECU,0.9305061892108794
2010-01-01,partial,COL,MEX,0.9588213510057821
2010-01-01,partial,COL,PAN,0.9782009719529888
2010-01-01,partial,COL,PER,0.9668458959734424
2010-01-01,partial,COL,SLV,0.6727988720460221
2010-01-01,partial,COL,URY,0.7760897586753115
2010-01-01,partial,DOM,MEX,0.6109985221037848
2010-01-01,partial,DOM,PAN,0.5210500127052622
2010-01-01,partial,DOM,PER,0.5113362286899348
2010-01-01,partial,ECU,MEX,0.9018675357693936
2010-01-01,partial,ECU,PAN,0.9145629871960999
2010-01-01,partial,ECU,PER,0.9045339947583813
2010-01-01,partial,ECU,SLV,0.8137938900791011
2010-01-01,partial,ECU,URY,0.8906379163160687
2010-01-01,partial,MEX,PAN,0.9781027091209825
2010-01-01,partial,MEX,PER,0.9501183869458769
2010-01-01,partial,MEX,SLV,0.6776977641551034
2010-01-01,partial,MEX,URY,0.7040162415695885
2010-01-01,partial,PAN,PER,0.9765854945196087
2010-01-01,partial,PAN,SLV,0.7214594981917761
2010-01-01,partial,PAN,URY,0.7120423890527365
2010-01-01,partial,PER,SLV,0.6993591939540321
2010-01-01,partial,PER,URY,0.73318816941837
2010-01-01,partial,SLV,URY,0.6724361903874504
2010-01-01,mst,ARG,URY,0.8872515948003391
2010-01-01,mst,ARG,ECU,0.7162101359646703
2010-01-01,mst,BRA,COL,0.9419794554865518
2010-01-01,mst,BRA,MEX,0.9153498346783544
2010-01-01,mst,CHL,URY,0.7287342287515336
2010-01-01,mst,COL,PAN,0.9565583770558227
2010-01-01,mst,DOM,SLV,0.970061528168488
2010-01-01,mst,DOM,URY,0.8982177766292404
2010-01-01,mst,PAN,PER,0.9587215233650993
2010-01-01,mst,PAN,SLV,0.8961237968083102
2010-04-01,corr,ARG,BRA,0.7625485914154256
2010-04-01,corr,ARG,CHL,0.7013412601598823
2010-04-01,corr,ARG,COL,0.7661828652362966
2010-04-01,corr,ARG,DOM,0.8217319265351699
2010-04-01,corr,ARG,ECU,0.7090312562749175
2010-04-01,corr,ARG,MEX,0.7366717869336515
2010-04-01,corr,ARG,PAN,0.8091828971299759
2010-04-01,corr,ARG,PER,0.7765110832155674
2010-04-01,corr,ARG,SLV,0.8515029008705016
2010-04-01,corr,ARG,URY,0.8903590255805578
2010-04-01,corr,BRA,CHL,0.5942849280696144
2010-04-01,corr,BRA,COL,0.9458988888463389
2010-04-01,corr,BRA,DOM,0.7103240169446914
2010-04-01,corr,BRA,ECU,0.43228381312496916
2010-04-01,corr,BRA,MEX,0.919453542446512
2010-04-01,corr,BRA,PAN,0.9134237023781553
2010-04-01,corr,BRA,PER,0.8808897824805979
2010-04-01,corr,BRA,SLV,0.7418621246476865
2010-04-01,corr,BRA,URY,0.8108921652222355
2010-04-01,corr,CHL,COL,0.562533857984873
2010-04-01,corr,CHL,DOM,0.5779691317450365
2010-04-01,corr,CHL,ECU,0.5449132253909981
2010-04-01,corr,CHL,MEX,0.5015193684734716
2010-04-01,corr,CHL,PAN,0.5003264166209012
2010-04-01,corr,CHL,PER,0.5076537631242231
2010-04-01,corr,CHL,SLV,0.5567751603880264
2010-04-01,corr,CHL,URY,0.7276305692276641
2010-04-01,corr,COL,DOM,0.8089660521646156
2010-04-01,corr,COL,ECU,0.5118168194611026
2010-04-01,corr,COL,MEX,0.895279948941041
2010-04-01,corr,COL,PAN,0.9556223607082936
2010-04-01,corr,COL,PER,0.9429907544297434
2010-04-01,corr,COL,SLV,0.8103882850035269
2010-04-01,corr,COL,URY,0.8718160727639042
2010-04-01,corr,DOM,ECU,0.6873115114131285
2010-04-01,corr,DOM,MEX,0.6769119652703126
2010-04-01,corr,DOM,PAN,0.8619330599726001
2010-04-01,corr,DOM,PER,0.8593591233935414
2010-04-01,corr,DOM,SLV,0.9681923980255278
2010-04-01,corr,DOM,URY,0.8951391313972036
2010-04-01,corr,ECU,MEX,0.4265065740217289
2010-04-01,corr,ECU,PAN,0.6277655712788083
2010-04-01,corr,ECU,PER,0.6187661266787685
2010-04-01,corr,ECU,SLV,0.7097857031670409
2010-04-01,corr,ECU,URY,0.5954816515144111
2010-04-01,corr,MEX,PAN,0.9066956710043766
2010-04-01,corr,MEX,PER,0.8204942898240235
2010-04-01,corr,MEX,SLV,0.7468145380309567
2010-04-01,corr,MEX,URY,0.7590120143686139
2010-04-01,corr,PAN,PER,0.9617575065106143
2010-04-01,corr,PAN,SLV,0.888159829796308
2010-04-01,corr,PAN,URY,0.8559415550567026
2010-04-01,corr,PER,SLV,0.8613669666564434
2010-04-01,corr,PER,URY,0.8654575701118439
2010-04-01,corr,SLV,URY,0.8896688422859824
2010-04-01,partial,ARG,BRA,0.526729694385715
2010-04-01,partial,ARG,CHL,0.5323451130177648
2010-04-01,partial,ARG,COL,0.5234181794322174
2010-04-01,partial,ARG,MEX,0.5280577401087894
2010-04-01,partial,ARG,PAN,0.5673603756505263
2010-04-01,partial,ARG,PER,0.5936702136834876
2010-04-01,partial,BRA,CHL,0.9263442873829586
2010-04-01,partial,BRA,COL,0.9739658276952333
2010-04-01,partial,BRA,DOM,0.6010977553467325
2010-04-01,partial,BRA,ECU,0.9145294819026143
2010-04-01,partial,BRA,MEX,0.9840109579830684
2010-04-01,partial,BRA,PAN,0.9765843351197595
2010-04-01,partial,BRA,PER,0.9644038025198057
2010-04-01,partial,BRA,SLV,0.6558911130114395
2010-04-01,partial,BRA,URY,0.7312481830045947
2010-04-01,partial,CHL,COL,0.8646360481435935
2010-04-01,partial,CHL,DOM,0.6562703088791307
2010-04-01,partial,CHL,ECU,0.8184356193273767
2010-04-01,partial,CHL,MEX,0.9086844686498522
2010-04-01,partial,CHL,PAN,0.8549187237349144
2010-04-01,partial,CHL,PER,0.8607222475908617
2010-04-01,partial,CHL,SLV,0.5472386278478887
2010-04-01,partial,CHL,URY,0.7051144017466989
2010-04-01,partial,COL,DOM,0.49683838901647537
2010-04-01,partial,COL,ECU,0.930891679550465
2010-04-01,partial,COL,MEX,0.9604298706815794
2010-04-01,partial,COL,PAN,0.9775538598195758
2010-04-01,partial,COL,PER,0.9699157299017832
2010-04-01,partial,COL,SLV,0.6667177217763537
2010-04-01,partial,COL,URY,0.7739880186293421
2010-04-01,partial,DOM,MEX,0.6083539915730373
2010-04-01,partial,DOM,PAN,0.5235352620517826
2010-04-01,partial,DOM,PER,0.5120627590505274
2010-04-01,partial,ECU,MEX,0.9034596493384813
2010-04-01,partial,ECU,PAN,0.9131817546607588
2010-04-01,partial,ECU,PER,0.9017755896092169
2010-04-01,partial,ECU,SLV,0.8025954667916626
2010-04-01,partial,ECU,URY,0.890402690675904
2010-04-01,partial,MEX,PAN,0.9780649177676658
2010-04-01,partial,MEX,PER,0.9478084810966401
2010-04-01,partial,MEX,SLV,0.6778409673669823
2010-04-01,partial,MEX,URY,0.706838648058891
2010-04-01,partial,PAN,PER,0.9783240470143861
2010-04-01,partial,PAN,SLV,0.7093537711235637
2010-04-01,partial,PAN,URY,0.7071437162978519
2010-04-01,partial,PER,SLV,0.6838227225434732
2010-04-01,partial,PER,URY,0.7282837473800233
2010-04-01,partial,SLV,URY,0.6635818953243606
2010-04-01,mst,ARG,URY,0.8903590255805578
2010-04-01,mst,BRA,COL,0.9458988888463389
2010-04-01,mst,BRA,MEX,0.919453542446512
2010-04-01,mst,CHL,URY,0.7276305692276641
2010-04-01,mst,COL,PAN,0.9556223607082936
2010-04-01,mst,DOM,SLV,0.9681923980255278
2010-04-01,mst,DOM,URY,0.8951391313972036
2010-04-01,mst,ECU,SLV,0.7097857031670409
2010-04-01,mst,PAN,PER,0.9617575065106143
2010-04-01,mst,PAN,SLV,0.888159829796308
2010-07-01,corr,ARG,BRA,0.8037716290593613
2010-07-01,corr,ARG,CHL,0.7011252071790062
2010-07-01,corr,ARG,COL,0.7847562083800971
2010-07-01,corr,ARG,DOM,0.821318378599375
2010-07-01,corr,ARG,ECU,0.708167517191668
2010-07-01,corr,ARG,MEX,0.7405053809288189
2010-07-01,corr,ARG,PAN,0.8188477049110137
2010-07-01,corr,ARG,PER,0.7889964319866352
2010-07-01,corr,ARG,SLV,0.8546208480158664
2010-07-01,corr,ARG,URY,0.8955553939173747
2010-07-01,corr,BRA,CHL,0.6179891888326715
2010-07-01,corr,BRA,COL,0.9430807553517573
2010-07-01,corr,BRA,DOM,0.7341977150502803
2010-07-01,corr,BRA,ECU,0.451274953073406
2010-07-01,corr,BRA,MEX,0.9355101980836599
2010-07-01,corr,BRA,PAN,0.9164935188483695
2010-07-01,corr,BRA,PER,0.8834756091764805
2010-07-01,corr,BRA,SLV,0.7628323208479313
2010-07-01,corr,BRA,URY,0.8243847689000848
2010-07-01,corr,CHL,COL,0.5780861858339202
2010-07-01,corr,CHL,DOM,0.5759998890952565
2010-07-01,corr,CHL,ECU,0.5367601999803505
2010-07-01,corr,CHL,MEX,0.5103760388420782
2010-07-01,corr,CHL,PAN,0.49379815489197393
2010-07-01,corr,CHL,PER,0.5105997242433411
2010-07-01,corr,CHL,SLV,0.5620532728773092
2010-07-01,corr,CHL,URY,0.726514469013811
2010-07-01,corr,COL,DOM,0.8265425350052019
2010-07-01,corr,COL,ECU,0.5233918945295271
2010-07-01,corr,COL,MEX,0.901320648093783
2010-07-01,corr,COL,PAN,0.9465776792583882
2010-07-01,corr,COL,PER,0.9430376287258345
2010-07-01,corr,COL,SLV,0.8184114461883837
2010-07-01,corr,COL,URY,0.8792581536696585
2010-07-01,corr,DOM,ECU,0.6868403013466567
2010-07-01,corr,DOM,MEX,0.6758821704397623
2010-07-01,corr,DOM,PAN,0.8644011209424233
2010-07-01,corr,DOM,PER,0.8655715352122181
2010-07-01,corr,DOM,SLV,0.9653742230237062
2010-07-01,corr,DOM,URY,0.8959759979314855
2010-07-01,corr,ECU,MEX,0.4259880122574198
2010-07-01,corr,ECU,PAN,0.6361676709985876
2010-07-01,corr,ECU,PER,0.6272071650206809
2010-07-01,corr,ECU,SLV,0.7089199155228728
2010-07-01,corr,ECU,URY,0.5971430400661154
2010-07-01,corr,MEX,PAN,0.8931079214967128
2010-07-01,corr,MEX,PER,0.8162277883374384
2010-07-01,corr,MEX,SLV,0.7439652376311734
2010-07-01,corr,MEX,URY,0.7560242878728417
2010-07-01,corr,PAN,PER,0.9563350695958158
2010-07-01,corr,PAN,SLV,0.8892954618022317
2010-07-01,corr,PAN,URY,0.8518773888699264
2010-07-01,corr,PER,SLV,0.8642336285299922
2010-07-01,corr,PER,URY,0.8654155950208909
2010-07-01,corr,SLV,URY,0.8891229098291257
2010-07-01,partial,ARG,BRA,0.5282740684427661
2010-07-01,partial,ARG,CHL,0.5367033861257319
2010-07-01,partial,ARG,COL,0.5290434212220413
2010-07-01,partial,ARG,MEX,0.5329872443772244
2010-07-01,partial,ARG,PAN,0.5700351086920329
2010-07-01,partial,ARG,PER,0.5959281796565251
2010-07-01,partial,BRA,CHL,0.9326495426736493
2010-07-01,partial,BRA,COL,0.9737107961609716
2010-07-01,partial,BRA,DOM,0.6027473981430751
2010-07-01,partial,BRA,ECU,0.9150382241582038
2010-07-01,partial,BRA,MEX,0.9875086916206162
2010-07-01,partial,BRA,PAN,0.9759025587148527
2010-07-01,partial,BRA,PER,0.9651978989993225
2010-07-01,partial,BRA,SLV,0.6532264275179375
2010-07-01,partial,BRA,URY,0.73127735759802
2010-07-01,partial,CHL,COL,0.875340676745545
2010-07-01,partial,CHL,DOM,0.6534639759149624
2010-07-01,partial,CHL,ECU,0.8209870694916501
2010-07-01,partial,CHL,MEX,0.9079441217539959
2010-07-01,partial,CHL,PAN,0.8543455078058863
2010-07-01,partial,CHL,PER,0.863429674938186
2010-07-01,partial,CHL,SLV,0.5434562283632682
2010-07-01,partial,CHL,URY,0.7106339309440982
2010-07-01,partial,COL,DOM,0.49445165462237667
2010-07-01,partial,COL,ECU,0.9330712204723145
2010-07-01,partial,COL,MEX,0.9673451361111352
2010-07-01,partial,COL,PAN,0.9737169185450922
2010-07-01,partial,COL,PER,0.9716332512589023
2010-07-01,partial,COL,SLV,0.6634238829267834
2010-07-01,partial,COL,URY,0.7772970017026789
2010-07-01,partial,DOM,MEX,0.6061277875294676
2010-07-01,partial,DOM,PAN,0.5259535709474481
2010-07-01,partial,DOM,PER,0.513302034532758
2010-07-01,partial,ECU,MEX,0.9036659896248299
2010-07-01,partial,ECU,PAN,0.9089502507037097
2010-07-01,partial,ECU,PER,0.9009351271692742
2010-07-01,partial,ECU,SLV,0.7991567893893526
2010-07-01,partial,ECU,URY,0.8918804791041104
2010-07-01,partial,MEX,PAN,0.975345621438723
2010-07-01,partial,MEX,PER,0.9493731419707978
2010-07-01,partial,MEX,SLV,0.67040959721476
2010-07-01,partial,MEX,URY,0.7101730636274285
2010-07-01,partial,PAN,PER,0.9762193610336204
2010-07-01,partial,PAN,SLV,0.7028284910961581
2010-07-01,partial,PAN,URY,0.7047609166876615
2010-07-01,partial,PER,SLV,0.6776632365252617
2010-07-01,partial,PER,URY,0.7285111210849967
2010-07-01,partial,SLV,URY,0.6614149721453143
2010-07-01,mst,ARG,URY,0.8955553939173747
2010-07-01,mst,BRA,COL,0.9430807553517573
2010-07-01,mst,BRA,MEX,0.9355101980836599
2010-07-01,mst,CHL,URY,0.726514469013811
2010-07-01,mst,COL,PAN,0.9465776792583882
2010-07-01,mst,DOM,SLV,0.9653742230237062
2010-07-01,mst,DOM,URY,0.8959759979314855
2010-07-01,mst,ECU,SLV,0.7089199155228728
2010-07-01,mst,PAN,PER,0.9563350695958158
2010-07-01,mst,PAN,SLV,0.8892954618022317
2010-10-01,corr,ARG,BRA,0.8029207823817393
2010-10-01,corr,ARG,CHL,0.6819998492369329
2010-10-01,corr,ARG,COL,0.7738312836740733
2010-10-01,corr,ARG,DOM,0.8155154899366558
2010-10-01,corr,ARG,ECU,0.6993685662217181
2010-10-01,corr,ARG,MEX,0.7248005362561026
2010-10-01,corr,ARG,PAN,0.809584838104563
2010-10-01,corr,ARG,PER,0.7795106225213968
2010-10-01,corr,ARG,SLV,0.8518742311179912
2010-10-01,corr,ARG,URY,0.8896289546041928
2010-10-01,corr,BRA,CHL,0.5817734382999491
2010-10-01,corr,BRA,COL,0.9464453520283523
2010-10-01,corr,BRA,DOM,0.7414030262203264
2010-10-01,corr,BRA,ECU,0.4447367855404669
2010-10-01,corr,BRA,MEX,0.9355856224608515
